"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","departureTimeZulu","departureTimeLocal","departureTimeDayOfWeek","flightNumber"
"2024-09-05T04:03:17.749Z","Amsterdam","AMS","Zanzibar","ZNZ","2024-09-05T08:05:00.000Z","05/09/2024, 10:05:00",4,"KL515"
"2024-09-05T04:03:17.750Z","Amsterdam","AMS","RIGA","RIX","2024-09-05T07:55:00.000Z","05/09/2024, 09:55:00",4,"BT618"
"2024-09-05T04:03:17.751Z","Amsterdam","AMS","Manchester","MAN","2024-09-05T08:05:00.000Z","05/09/2024, 10:05:00",4,"KL1031"
"2024-09-05T04:03:17.752Z","Amsterdam","AMS","Tallinn","TLL","2024-09-05T07:55:00.000Z","05/09/2024, 09:55:00",4,"BT858"
"2024-09-05T04:03:17.755Z","Amsterdam","AMS","Frankfurt am Main","FRA","2024-09-05T08:00:00.000Z","05/09/2024, 10:00:00",4,"LH987"
"2024-09-05T04:03:17.755Z","Amsterdam","AMS","Houston","IAH","2024-09-05T07:55:00.000Z","05/09/2024, 09:55:00",4,"KL661"
"2024-09-05T04:03:17.755Z","Amsterdam","AMS","Bristol","BRS","2024-09-05T07:55:00.000Z","05/09/2024, 09:55:00",4,"U22922"
"2024-09-05T04:03:17.753Z","Amsterdam","AMS","Vienna","VIE","2024-09-05T07:55:00.000Z","05/09/2024, 09:55:00",4,"OS372"
"2024-09-05T04:03:17.754Z","Amsterdam","AMS","London","LCY","2024-09-05T07:55:00.000Z","05/09/2024, 09:55:00",4,"CJ8496"
"2024-09-05T04:03:17.756Z","Amsterdam","AMS","Antalya","AYT","2024-09-05T08:05:00.000Z","05/09/2024, 10:05:00",4,"PC5016"
"2024-09-05T04:03:33.634Z","Amsterdam","AMS","Billund","BLL","2024-09-05T08:15:00.000Z","05/09/2024, 10:15:00",4,"KL1293"
"2024-09-05T04:03:33.635Z","Amsterdam","AMS","Milan","MXP","2024-09-05T08:20:00.000Z","05/09/2024, 10:20:00",4,"KL1621"
"2024-09-05T04:03:33.636Z","Amsterdam","AMS","Copenhagen","CPH","2024-09-05T08:20:00.000Z","05/09/2024, 10:20:00",4,"D83539"
"2024-09-05T04:03:33.637Z","Amsterdam","AMS","Vilnius","VNO","2024-09-05T08:20:00.000Z","05/09/2024, 10:20:00",4,"BT962"
"2024-09-05T04:03:33.638Z","Amsterdam","AMS","Santiago de Compostela","SCQ","2024-09-05T08:20:00.000Z","05/09/2024, 10:20:00",4,"VY8379"
"2024-09-05T04:03:33.640Z","Amsterdam","AMS","Dallas-Fort Worth","DFW","2024-09-05T08:00:00.000Z","05/09/2024, 10:00:00",4,"AA221"
"2024-09-05T04:03:33.638Z","Amsterdam","AMS","Sofia","SOF","2024-09-05T08:15:00.000Z","05/09/2024, 10:15:00",4,"FB462"
"2024-09-05T04:03:33.639Z","Amsterdam","AMS","Copenhagen","CPH","2024-09-05T08:20:00.000Z","05/09/2024, 10:20:00",4,"DY3539"
"2024-09-05T04:03:33.642Z","Amsterdam","AMS","Cape Town","CPT","2024-09-05T08:10:00.000Z","05/09/2024, 10:10:00",4,"KL597"
"2024-09-05T04:03:33.641Z","Amsterdam","AMS","Berlin","BER","2024-09-05T07:00:00.000Z","05/09/2024, 09:00:00",4,"U25282"
"2024-09-05T04:03:33.643Z","Amsterdam","AMS","Bangalore","BLR","2024-09-05T08:10:00.000Z","05/09/2024, 10:10:00",4,"KL879"
"2024-09-05T04:03:33.643Z","Amsterdam","AMS","Minneapolis","MSP","2024-09-05T08:15:00.000Z","05/09/2024, 10:15:00",4,"DL161"
"2024-09-05T04:03:33.644Z","Amsterdam","AMS","Berlin","BER","2024-09-05T08:15:00.000Z","05/09/2024, 10:15:00",4,"KL1775"
"2024-09-05T04:03:33.642Z","Amsterdam","AMS","Dublin","DUB","2024-09-05T08:10:00.000Z","05/09/2024, 10:10:00",4,"FR421"
"2024-09-05T04:03:33.643Z","Amsterdam","AMS","London","LHR","2024-09-05T08:15:00.000Z","05/09/2024, 10:15:00",4,"KL1005"
"2024-09-05T04:03:49.555Z","Amsterdam","AMS","Salt Lake City","SLC","2024-09-05T08:40:00.000Z","05/09/2024, 10:40:00",4,"DL57"
"2024-09-05T04:03:49.556Z","Amsterdam","AMS","Tenerife","TFS","2024-09-05T08:45:00.000Z","05/09/2024, 10:45:00",4,"OR1667"
"2024-09-05T04:03:49.557Z","Amsterdam","AMS","Portland","PDX","2024-09-05T08:35:00.000Z","05/09/2024, 10:35:00",4,"DL179"
"2024-09-05T04:03:49.557Z","Amsterdam","AMS","Hamburg","HAM","2024-09-05T08:45:00.000Z","05/09/2024, 10:45:00",4,"KL1753"
"2024-09-05T04:03:49.558Z","Amsterdam","AMS","Barcelona","BCN","2024-09-05T08:30:00.000Z","05/09/2024, 10:30:00",4,"VY8301"
"2024-09-05T04:03:49.559Z","Amsterdam","AMS","Johannesburg","JNB","2024-09-05T08:35:00.000Z","05/09/2024, 10:35:00",4,"KL591"
"2024-09-05T04:03:49.558Z","Amsterdam","AMS","Konya","KYA","2024-09-05T08:30:00.000Z","05/09/2024, 10:30:00",4,"XQ745"
"2024-09-05T04:03:49.563Z","Amsterdam","AMS","Warsaw","WAW","2024-09-05T08:30:00.000Z","05/09/2024, 10:30:00",4,"LO266"
"2024-09-05T04:03:49.561Z","Amsterdam","AMS","Atlanta","ATL","2024-09-05T08:35:00.000Z","05/09/2024, 10:35:00",4,"DL73"
"2024-09-05T04:03:49.562Z","Amsterdam","AMS","Barcelona","BCN","2024-09-05T08:25:00.000Z","05/09/2024, 10:25:00",4,"KL1513"
"2024-09-05T04:03:49.561Z","Amsterdam","AMS","Oslo","OSL","2024-09-05T08:40:00.000Z","05/09/2024, 10:40:00",4,"SK822"
"2024-09-05T04:03:49.563Z","Amsterdam","AMS","Paris","CDG","2024-09-05T08:35:00.000Z","05/09/2024, 10:35:00",4,"AF1341"
"2024-09-05T04:03:49.563Z","Amsterdam","AMS","Copenhagen","CPH","2024-09-05T08:25:00.000Z","05/09/2024, 10:25:00",4,"SK552"
"2024-09-05T04:03:49.562Z","Amsterdam","AMS","Edinburgh","EDI","2024-09-05T08:30:00.000Z","05/09/2024, 10:30:00",4,"KL925"
"2024-09-05T04:03:49.564Z","Amsterdam","AMS","London","LTN","2024-09-05T06:45:00.000Z","05/09/2024, 08:45:00",4,"U22512"
"2024-09-05T04:04:05.350Z","Amsterdam","AMS","Munich","MUC","2024-09-05T09:15:00.000Z","05/09/2024, 11:15:00",4,"CL2303"
