"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","departureTimeZulu","departureTimeLocal","departureTimeDayOfWeek","flightNumber"
"2024-09-16T04:06:22.403Z","Amsterdam","AMS","Copenhagen","CPH","2024-09-16T12:25:00.000Z","16/09/2024, 14:25:00",1,"KL1273"
"2024-09-16T04:06:22.403Z","Amsterdam","AMS","Tokyo (Narita)","NRT","2024-09-16T12:20:00.000Z","16/09/2024, 14:20:00",1,"KL861"
"2024-09-16T04:06:22.403Z","Amsterdam","AMS","Warsaw","WAW","2024-09-16T12:15:00.000Z","16/09/2024, 14:15:00",1,"LO264"
"2024-09-16T04:06:22.404Z","Amsterdam","AMS","Budapest","BUD","2024-09-16T12:25:00.000Z","16/09/2024, 14:25:00",1,"KL1367"
"2024-09-16T04:06:22.406Z","Amsterdam","AMS","Stjordal","TRD","2024-09-16T12:20:00.000Z","16/09/2024, 14:20:00",1,"KL1153"
"2024-09-16T04:06:22.405Z","Amsterdam","AMS","Stavanger","SVG","2024-09-16T12:25:00.000Z","16/09/2024, 14:25:00",1,"KL1209"
"2024-09-16T04:06:22.405Z","Amsterdam","AMS","Alesund","AES","2024-09-16T12:20:00.000Z","16/09/2024, 14:20:00",1,"KL1157"
"2024-09-16T04:06:22.406Z","Amsterdam","AMS","London","LCY","2024-09-16T12:20:00.000Z","16/09/2024, 14:20:00",1,"CJ8454"
"2024-09-16T04:06:38.372Z","Amsterdam","AMS","Saint","RNS","2024-09-16T12:30:00.000Z","16/09/2024, 14:30:00",1,"KL1415"
"2024-09-16T04:06:38.378Z","Amsterdam","AMS","Mexico City","MEX","2024-09-16T12:30:00.000Z","16/09/2024, 14:30:00",1,"KL685"
"2024-09-16T04:06:38.379Z","Amsterdam","AMS","Oslo","OSL","2024-09-16T12:30:00.000Z","16/09/2024, 14:30:00",1,"KL1203"
"2024-09-16T04:06:38.379Z","Amsterdam","AMS","Rome","FCO","2024-09-16T12:30:00.000Z","16/09/2024, 14:30:00",1,"KL1605"
"2024-09-16T04:06:38.380Z","Amsterdam","AMS","Edmonton Capital Region","YEG","2024-09-16T12:30:00.000Z","16/09/2024, 14:30:00",1,"KL675"
"2024-09-16T04:06:38.378Z","Amsterdam","AMS","Bordeaux/Merignac","BOD","2024-09-16T12:40:00.000Z","16/09/2024, 14:40:00",1,"KL1445"
"2024-09-16T04:06:38.380Z","Amsterdam","AMS","New York","JFK","2024-09-16T12:30:00.000Z","16/09/2024, 14:30:00",1,"KL645"
"2024-09-16T04:06:38.380Z","Amsterdam","AMS","Nice","NCE","2024-09-16T12:30:00.000Z","16/09/2024, 14:30:00",1,"KL1477"
"2024-09-16T04:06:38.374Z","Amsterdam","AMS","Frankfurt am Main","FRA","2024-09-16T12:40:00.000Z","16/09/2024, 14:40:00",1,"LH993"
"2024-09-16T04:06:38.373Z","Amsterdam","AMS","Warsaw","WAW","2024-09-16T12:30:00.000Z","16/09/2024, 14:30:00",1,"KL1315"
"2024-09-16T04:06:38.375Z","Amsterdam","AMS","Milan","MXP","2024-09-16T12:35:00.000Z","16/09/2024, 14:35:00",1,"U23860"
"2024-09-16T04:06:38.375Z","Amsterdam","AMS","Stockholm","ARN","2024-09-16T12:40:00.000Z","16/09/2024, 14:40:00",1,"KL1223"
"2024-09-16T04:06:38.373Z","Amsterdam","AMS","Boston","BOS","2024-09-16T12:30:00.000Z","16/09/2024, 14:30:00",1,"DL257"
"2024-09-16T04:06:38.374Z","Amsterdam","AMS","Paris","CDG","2024-09-16T12:35:00.000Z","16/09/2024, 14:35:00",1,"AF1741"
"2024-09-16T04:06:38.376Z","Amsterdam","AMS","Istanbul","IST","2024-09-16T12:40:00.000Z","16/09/2024, 14:40:00",1,"TK1958"
"2024-09-16T04:06:54.388Z","Amsterdam","AMS","Bologna","BLQ","2024-09-16T12:45:00.000Z","16/09/2024, 14:45:00",1,"KL1665"
"2024-09-16T04:06:54.390Z","Amsterdam","AMS","Birmingham","BHX","2024-09-16T12:45:00.000Z","16/09/2024, 14:45:00",1,"U27843"
"2024-09-16T04:06:54.390Z","Amsterdam","AMS","Ikeja","LOS","2024-09-16T12:45:00.000Z","16/09/2024, 14:45:00",1,"KL587"
"2024-09-16T04:06:54.389Z","Amsterdam","AMS","Zakynthos (Zakinthos)","ZTH","2024-09-16T12:45:00.000Z","16/09/2024, 14:45:00",1,"HV6083"
"2024-09-16T04:06:54.391Z","Amsterdam","AMS","Zurich","ZRH","2024-09-16T13:00:00.000Z","16/09/2024, 15:00:00",1,"LX729"
"2024-09-16T04:06:54.393Z","Amsterdam","AMS","Lisbon","LIS","2024-09-16T12:50:00.000Z","16/09/2024, 14:50:00",1,"VY8435"
"2024-09-16T04:06:54.395Z","Amsterdam","AMS","Willemstad","CUR","2024-09-16T12:55:00.000Z","16/09/2024, 14:55:00",1,"KL735"
"2024-09-16T04:06:54.396Z","Amsterdam","AMS","Florence (Firenze)","FLR","2024-09-16T12:55:00.000Z","16/09/2024, 14:55:00",1,"KL1655"
"2024-09-16T04:06:54.392Z","Amsterdam","AMS","Newcastle upon Tyne","NCL","2024-09-16T12:55:00.000Z","16/09/2024, 14:55:00",1,"KL955"
"2024-09-16T04:06:54.394Z","Amsterdam","AMS","San Francisco","SFO","2024-09-16T12:50:00.000Z","16/09/2024, 14:50:00",1,"UA969"
"2024-09-16T04:06:54.391Z","Amsterdam","AMS","Geneva","GVA","2024-09-16T13:00:00.000Z","16/09/2024, 15:00:00",1,"KL1935"
"2024-09-16T04:06:54.396Z","Amsterdam","AMS","Copenhagen","CPH","2024-09-16T12:50:00.000Z","16/09/2024, 14:50:00",1,"SK548"
"2024-09-16T04:06:54.396Z","Amsterdam","AMS","Paphos","PFO","2024-09-16T12:55:00.000Z","16/09/2024, 14:55:00",1,"HV5517"
"2024-09-16T04:06:54.394Z","Amsterdam","AMS","Toronto","YYZ","2024-09-16T12:55:00.000Z","16/09/2024, 14:55:00",1,"TS377"
"2024-09-16T04:07:10.366Z","Amsterdam","AMS","Balice","KRK","2024-09-16T13:20:00.000Z","16/09/2024, 15:20:00",1,"KL1325"
"2024-09-16T04:07:10.367Z","Amsterdam","AMS","Dubai","DXB","2024-09-16T13:20:00.000Z","16/09/2024, 15:20:00",1,"EK148"
"2024-09-16T04:07:10.369Z","Amsterdam","AMS","Shanghai","PVG","2024-09-16T13:10:00.000Z","16/09/2024, 15:10:00",1,"CK206"
