"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","arrivalTimeZulu","arrivalTimeLocal","arrivalTimeDayOfWeek","flightNumber"
"2024-09-16T04:23:43.046Z","Berlin","BER","Amsterdam","AMS","2024-09-16T19:00:00.000Z","16/09/2024, 21:00:00",1,"U25287"
"2024-09-16T04:23:43.048Z","Zakynthos (Zakinthos)","ZTH","Amsterdam","AMS","2024-09-16T19:35:00.000Z","16/09/2024, 21:35:00",1,"OR1232"
"2024-09-16T04:23:43.048Z","Prague","PRG","Amsterdam","AMS","2024-09-16T18:50:00.000Z","16/09/2024, 20:50:00",1,"KL1360"
"2024-09-16T04:23:43.049Z","Geneva","GVA","Amsterdam","AMS","2024-09-16T18:55:00.000Z","16/09/2024, 20:55:00",1,"KL1938"
"2024-09-16T04:23:43.050Z","Cork","ORK","Amsterdam","AMS","2024-09-16T19:00:00.000Z","16/09/2024, 21:00:00",1,"EI844"
"2024-09-16T04:23:59.533Z","Stockholm","ARN","Amsterdam","AMS","2024-09-16T19:35:00.000Z","16/09/2024, 21:35:00",1,"SK1557"
"2024-09-16T04:23:59.536Z","Vienna","VIE","Amsterdam","AMS","2024-09-16T19:45:00.000Z","16/09/2024, 21:45:00",1,"KL1906"
"2024-09-16T04:23:59.537Z","Warsaw","WAW","Amsterdam","AMS","2024-09-16T19:40:00.000Z","16/09/2024, 21:40:00",1,"KL1318"
"2024-09-16T04:23:59.535Z","London","LTN","Amsterdam","AMS","2024-09-16T19:05:00.000Z","16/09/2024, 21:05:00",1,"U22521"
"2024-09-16T04:23:59.537Z","Munich","MUC","Amsterdam","AMS","2024-09-16T19:40:00.000Z","16/09/2024, 21:40:00",1,"LH2310"
"2024-09-16T04:23:59.535Z","London","LHR","Amsterdam","AMS","2024-09-16T19:30:00.000Z","16/09/2024, 21:30:00",1,"KL1014"
"2024-09-16T04:23:59.535Z","Istanbul","IST","Amsterdam","AMS","2024-09-16T19:45:00.000Z","16/09/2024, 21:45:00",1,"TK1955"
"2024-09-16T04:23:59.537Z","Barcelona","BCN","Amsterdam","AMS","2024-09-16T19:55:00.000Z","16/09/2024, 21:55:00",1,"VY8311"
"2024-09-16T04:23:59.538Z","Gran Canaria","LPA","Amsterdam","AMS","2024-09-16T19:25:00.000Z","16/09/2024, 21:25:00",1,"CD158"
"2024-09-16T04:23:59.540Z","Copenhagen","CPH","Amsterdam","AMS","2024-09-16T19:30:00.000Z","16/09/2024, 21:30:00",1,"U27938"
"2024-09-16T04:23:59.539Z","Paris","CDG","Amsterdam","AMS","2024-09-16T19:25:00.000Z","16/09/2024, 21:25:00",1,"KL1412"
"2024-09-16T04:23:59.539Z","Copenhagen","CPH","Amsterdam","AMS","2024-09-16T19:35:00.000Z","16/09/2024, 21:35:00",1,"SK549"
"2024-09-16T04:23:59.540Z","Nice","NCE","Amsterdam","AMS","2024-09-16T19:25:00.000Z","16/09/2024, 21:25:00",1,"KL1480"
"2024-09-16T04:23:59.539Z","Milan","MXP","Amsterdam","AMS","2024-09-16T19:25:00.000Z","16/09/2024, 21:25:00",1,"KL1624"
"2024-09-16T04:23:59.538Z","Lisbon","LIS","Amsterdam","AMS","2024-09-16T19:45:00.000Z","16/09/2024, 21:45:00",1,"VY8436"
